damage,kills,rifle,sniper,pistol,smg,grenade,preplant kill,postplant kill,fast_kill_rating (first_kill),total kills,total deaths,avg kill time,assists,alone kills,Avg Distance to A bomb (on kill),times in catwalk_box,times in topmid_box,times in chair_box,times in midlane_box,times in underpass_box,times in window_box,times in stairs_box,times in tetris_box,times in sandwhich_box,times in Asite_box,times in firebox_box,times in jungle_box,times in connector_box,times in opening_box,times in opening2_box,times in A_main_box,times in T_ramp_box,times in hell_box,times in palace_box,times in pillars_box,times in ticket_box,times in CT_ramp_box,alone_death,total_distance_traveled,Role,id
201,2,1,0,0,1,0,1,1,3,2,3,860.4144,4,0,786.4302956,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2480.055351,4.0,76561198324350955
351,4,0,3,1,0,0,3,1,5,4,3,371.0571,4,0,340.7905755,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,879.2043501,,76561198351970085
271,2,2,0,0,0,0,2,0,5,2,4,8.9702,3,0,93.13507771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1011.069464,,76561198320321125
280,2,0,2,0,0,0,2,0,5,2,4,19.315,2,0,43.89920156,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.192317,,76561198287952829
284,2,2,0,0,0,0,2,0,4,2,3,548.0840000000001,1,0,504.71507230000003,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1426.325789,,76561198041539273
1259,12,10,2,0,0,0,9,3,5,12,11,243.6974818,15,3,229.807567,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,5963.23619,2.0,76561198181334318
1812,15,13,1,0,1,0,10,5,4,15,9,168.5561643,19,8,196.36995980000003,0,0,0,1,0,2,0,0,0,0,0,2,0,0,1,3,0,0,0,0,1,2,5,5947.698075,4.0,76561198057256997
2006,19,18,0,0,0,1,15,4,4,19,9,146.25025559999997,16,3,144.3483541,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0,0,0,3,8845.295245000001,0.0,76561198273962674
578,6,2,2,0,0,0,6,0,5,6,14,461.49868,8,2,467.9969694,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,6229.489631,0.0,76561198066317190
634,5,0,4,1,0,0,4,1,5,5,13,38.548,12,0,19.3005319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4240.73692,3.0,76561198083280914
1696,13,10,1,0,1,0,12,1,5,13,11,223.8581583,19,1,198.0273124,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,2,7088.750597,2.0,76561198271873925
1087,9,9,0,0,0,0,7,2,3,9,11,327.4299625,14,1,332.00801939999997,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,4627.942097,0.0,76561198162090745
1592,14,8,1,3,1,0,12,2,3,14,11,203.53423850000001,17,4,172.17906399999998,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,6655.735672999999,4.0,76561198061520031
1311,13,11,1,1,0,0,11,2,5,13,10,210.579175,17,3,207.0813026,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,3,0,0,0,2,4767.560759,2.0,76561198203831271
798,7,5,0,1,1,0,6,1,5,7,14,397.4654833,6,2,401.8305099,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,4,4462.94929,,76561198268643206
1082,10,8,0,0,1,1,10,0,4,10,6,206.9145667,13,1,168.3888362,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2771.1797890000003,2.0,76561197967729203
757,11,3,5,0,2,1,10,1,4,11,6,182.62805,9,1,187.8047145,0,0,0,1,0,3,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,2,3137.383245,3.0,76561198414606641
767,9,8,0,0,1,0,8,1,5,9,6,225.18235,10,1,206.22416669999998,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,3263.297904,2.0,76561198395557630
482,2,0,0,0,2,0,2,0,5,2,6,230.993,8,0,525.3586678,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4054.0638340000005,,76561198360374468
728,4,1,2,0,1,0,4,0,5,4,7,579.4888,9,0,544.8319223999999,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2471.160477,3.0,76561198404021902
958,11,8,1,1,1,0,9,2,5,11,7,182.10599,11,6,137.46541530000002,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,2,2966.8602960000003,4.0,76561198076100521
898,10,2,8,0,0,0,10,0,5,10,7,209.0890111,11,1,178.26237930000002,0,1,0,0,0,2,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,3922.849329,3.0,76561198035344213
523,4,3,1,0,0,0,4,0,5,4,8,306.9383333,6,0,205.7326746,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2337.0260550000003,,76561198089041153
417,2,2,0,0,0,0,2,0,5,2,8,1319.0279999999998,5,0,1211.592959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2232.340114,0.0,76561198351364867
359,4,3,0,0,1,0,2,2,5,4,6,395.805,2,3,328.30571560000004,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2456.881253,4.0,76561198023317027
2370,21,16,2,0,3,0,19,2,5,21,12,111.67908999999999,25,2,111.93490770000001,0,0,1,1,1,1,1,0,0,0,0,0,0,0,4,4,0,5,0,0,0,0,2,6723.758959999999,1.0,76561198076100521
515,4,4,0,0,0,0,3,1,5,4,12,596.8996333,11,0,611.0733078,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4273.270813,,76561198016696018
775,7,6,0,1,0,0,7,0,4,7,12,395.3764833,13,1,443.6815527,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5678.058452,0.0,76561198023317027
1524,16,4,11,1,0,0,13,3,4,16,11,142.9699333,18,4,131.1850905,0,1,0,0,0,2,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,2,5338.12735,3.0,76561198025933652
