"damage","rifle","sniper","pistol","smg","grenade","preplant.kill","postplant.kill","total.kills","total.deaths","avg.kill.time","assists","alone.kills","Avg.Distance.to.A.bomb..on.kill.","alone_death","total_distance_traveled","Role"
751,3,2,0,1,0,6,0,6,6,125.50884,9,0,128.1563824,0,1607.09282,"1"
707,7,0,0,2,0,7,2,9,6,169.99165,13,3,163.2019639,1,6264.90477,"2"
699,2,5,1,3,0,5,6,11,9,142.98149,12,4,132.4423983,3,8069.726307,"4"
1911,15,0,0,0,0,13,2,15,14,146.5282857,21,4,145.9604253,3,9185.98132,"0"
639,11,0,1,0,0,10,2,12,6,136.6168727,6,5,91.4801563,2,3479.732468,"1"
1957,12,6,0,0,0,14,4,18,5,89.46551176,18,1,66.04437321,1,5665.950732,"1"
380,5,1,0,0,0,2,4,6,6,284.0346,5,1,295.1231649,1,2909.659888,"0"
1118,11,0,0,0,0,5,7,12,5,180.7574364,13,8,229.7403482,1,4539.524033,"4"
1027,2,7,2,0,0,5,6,11,8,89.4897,16,4,136.9967501,3,6568.631986,"3"
763,4,2,1,0,0,3,4,7,7,187.3044333,9,7,294.1172438,2,3107.190904,"3"
1685,17,0,0,0,0,11,6,17,4,67.62759375,17,3,60.35352561,1,4441.679422,"1"
1443,13,0,0,0,0,11,2,13,5,68.07215833,11,3,37.66076039,2,4150.353097,"1"
1004,6,2,1,0,0,6,3,9,9,326.45585,11,1,307.0776703,1,6568.326813,"0"
1184,11,0,0,0,0,7,4,11,8,197.57358,16,5,245.8423368,3,6640.615886,"2"
1309,6,0,0,5,1,11,1,12,10,246.7699545,16,1,298.0558614,2,6106.007097,"1"
1432,13,0,2,0,0,12,3,15,9,190.6178857,16,1,189.9003111,2,6937.802357,"2"
631,5,0,1,2,0,4,4,8,4,249.2169429,9,4,308.9607974,2,4476.292448,"4"
1043,11,0,0,0,0,6,5,11,7,135.2109,11,4,131.7667687,0,3984.228095,"2"
943,0,6,1,1,0,9,0,9,10,267.085575,11,2,269.5522577,2,4398.334046,"3"
1230,4,9,0,0,0,11,2,13,6,192.3626667,11,7,171.6310479,2,3510.402229,"3"
876,3,7,0,1,0,7,4,11,5,208.24084,13,3,264.2054958,1,5646.368696,"4"
1728,3,4,0,12,0,16,3,19,12,83.04661111,16,4,99.34049954,3,6671.41108,"1"
437,3,0,0,1,0,3,1,4,5,150.7807,6,1,124.9707361,1,2094.430501,"0"
934,10,0,0,1,0,7,4,11,8,156.49851,15,2,124.2211319,1,3355.963215,"0"
731,0,3,1,0,0,3,3,6,7,294.19714,8,3,289.2717652,3,3149.765649,"4"
718,2,0,0,1,0,2,1,3,13,420.4534,8,0,103.8144112,1,4330.980849,"0"
449,4,0,0,0,0,3,1,4,8,641.3148333,6,2,650.9248752,2,2398.755021,"4"
764,1,1,0,2,0,2,2,4,10,297.1075667,11,1,123.2034314,3,4488.956676,"0"
463,2,0,1,0,0,3,0,3,3,154.1213,4,0,198.3392239,0,1781.282035,"0"
100,1,1,0,0,0,1,1,2,2,255.2018,3,1,387.12901,0,411.1283887,"2"
1552,11,1,1,1,0,14,0,14,10,137.5012692,14,2,139.3439504,2,6607.189187,"4"
751,7,0,0,0,0,7,0,7,10,320.9136,5,1,386.3532117,2,2813.473128,"2"
1436,11,2,0,0,0,13,0,13,10,153.19495,17,1,149.6184821,2,5115.462005,"1"
1311,3,6,2,0,0,8,3,11,6,232.2211,12,2,251.14323,0,3835.726028,"3"
1393,8,4,1,0,0,11,2,13,9,181.0782667,14,1,221.4018086,0,5239.958749,"2"
1209,8,0,0,2,0,10,0,10,7,124.0709333,16,2,160.522858,3,5879.975001,"1"
1106,10,0,0,0,0,10,0,10,14,217.7732222,17,2,232.6290339,4,6760.143231,"2"
1320,15,0,0,0,0,11,4,15,9,163.5137143,14,7,175.8788695,1,7551.920014,"4"
865,5,3,1,0,0,8,1,9,6,180.7661875,8,0,213.0219927,1,3674.611837,"2"
522,3,1,0,0,0,4,0,4,7,22.69053333,6,0,63.21396363,2,3773.419399,"1"
1366,12,0,0,0,0,8,4,12,11,199.6738091,18,7,236.6181306,3,7185.578065,"4"
1143,10,0,1,1,0,12,0,12,4,186.2029364,13,0,207.8392525,0,2888.957953,"1"
1832,12,3,0,3,0,16,2,18,10,130.5908647,16,6,134.1321307,4,6743.383178,"4"
